CA1-3 Personal income summary,,,Year: 2011,,
31003,"Antelope, NE",6619,407415,61552,29526
31005,"Arthur, NE",469,15638,33343,34804
31007,"Banner, NE",684,38677,56545,34562
31009,"Blaine, NE",473,19414,41044,31161
31011,"Boone, NE",5412,286866,53006,32762
31013,"Box Butte, NE",11383,439070,38572,45327
31015,"Boyd, NE",2082,95177,45714,23945
31017,"Brown, NE",3117,119839,38447,29791
31019,"Buffalo, NE",46690,1789492,38327,34883
31021,"Burt, NE",6802,293822,43196,30502
31023,"Butler, NE",8287,396158,47805,33476
31025,"Cass, NE",25188,1057664,41991,32937
31027,"Cedar, NE",8730,473475,54235,31452
31029,"Chase, NE",4011,172635,43040,33323
31031,"Cherry, NE",5761,229362,39813,26666
31033,"Cheyenne, NE",9978,467077,46811,43877
31035,"Clay, NE",6486,330205,50910,35541
31037,"Colfax, NE",10614,405637,38217,34055
31039,"Cuming, NE",9181,475765,51821,33303
31041,"Custer, NE",10903,485299,44511,32608
31043,"Dakota, NE",20913,613179,29320,36256
31045,"Dawes, NE",9196,285212,31015,30110
31047,"Dawson, NE",24388,812612,33320,32991
31049,"Deuel, NE",1984,71348,35962,26735
31051,"Dixon, NE",5989,215158,35926,29804
31053,"Dodge, NE",36773,1408123,38292,32887
31055,"Douglas, NE",524861,24672885,47008,45977
31057,"Dundy, NE",1976,112794,57082,34764
31059,"Fillmore, NE",5866,334429,57011,31905
31061,"Franklin, NE",3207,142954,44576,27752
31063,"Frontier, NE",2723,133326,48963,30706
31065,"Furnas, NE",4943,225792,45679,32462
31067,"Gage, NE",22031,902001,40942,31628
31069,"Garden, NE",2069,107602,52007,30627
31071,"Garfield, NE",2032,76440,37618,25130
31073,"Gosper, NE",2010,109091,54274,31377
31075,"Grant, NE",630,18563,29465,25480
31077,"Greeley, NE",2519,98935,39276,27632
31079,"Hall, NE",59477,2219929,37324,35088
31081,"Hamilton, NE",9069,454462,50112,34981
31083,"Harlan, NE",3417,166945,48857,28995
31085,"Hayes, NE",960,64891,67595,30330
31087,"Hitchcock, NE",2857,113117,39593,34118
31089,"Holt, NE",10399,519663,49972,31545
31091,"Hooker, NE",729,24025,32956,26044
31093,"Howard, NE",6342,258624,40780,28022
31095,"Jefferson, NE",7519,313090,41640,32848
31097,"Johnson, NE",5211,168041,32247,32137
31099,"Kearney, NE",6588,355679,53989,32139
31101,"Keith, NE",8301,311725,37553,30167
31103,"Keya Paha, NE",813,42270,51993,26952
31105,"Kimball, NE",3775,165017,43713,32424
31107,"Knox, NE",8575,340816,39745,26949
31109,"Lancaster, NE",289800,11253894,38833,39601
31111,"Lincoln, NE",36142,1524290,42175,39852
31113,"Logan, NE",762,38744,50845,29226
31115,"Loup, NE",610,17337,28421,28418
31117,"McPherson, NE",552,14520,26304,24896
31119,"Madison, NE",34931,1305431,37372,34050
31121,"Merrick, NE",7732,307353,39751,32002
31123,"Morrill, NE",4998,250743,50169,31961
31125,"Nance, NE",3740,169024,45194,32577
31127,"Nemaha, NE",7280,298177,40958,47170
31129,"Nuckolls, NE",4478,211892,47318,27501
31131,"Otoe, NE",15798,605699,38340,33433
31133,"Pawnee, NE",2735,112493,41131,29640
31135,"Perkins, NE",2955,175178,59282,35550
31137,"Phelps, NE",9184,433003,47148,34976
31139,"Pierce, NE",7216,304581,42209,29767
31141,"Platte, NE",32593,1289110,39552,36294
31143,"Polk, NE",5322,278947,52414,29513
31145,"Red Willow, NE",11032,427726,38771,33342
31147,"Richardson, NE",8345,326412,39115,28834
31149,"Rock, NE",1494,61837,41390,28818
31151,"Saline, NE",14345,526962,36735,35764
31153,"Sarpy, NE",162561,6805660,41865,41158
31155,"Saunders, NE",20867,877920,42072,30358
31157,"Scotts Bluff, NE",37044,1347350,36372,36892
31159,"Seward, NE",16703,705136,42216,34949
31161,"Sheridan, NE",5392,206398,38279,26788
31163,"Sherman, NE",3093,115753,37424,25767
31165,"Sioux, NE",1336,59787,44751,29566
31167,"Stanton, NE",6155,264666,43000,46296
31169,"Thayer, NE",5160,243028,47098,33885
31171,"Thomas, NE",716,26119,36479,30373
31173,"Thurston, NE",7006,282354,40302,38412
31175,"Valley, NE",4218,194381,46084,28993
31177,"Washington, NE",20295,873890,43059,47237
31179,"Wayne, NE",9504,366839,38598,29905
31181,"Webster, NE",3775,151350,40093,28786
31183,"Wheeler, NE",818,40596,49628,38957
31185,"York, NE",13726,635208,46278,33746
32001,"Churchill, NV",24637,1041680,42281,42009
32003,"Clark, NV",1969975,70289097,35680,44391
32005,"Douglas, NV",46886,2450553,52266,40046
32007,"Elko, NV",49491,1987080,40150,47005
32009,"Esmeralda, NV",775,30791,39730,40808
32011,"Eureka, NV",1979,75342,38071,84375
32013,"Humboldt, NV",16735,719974,43022,51251
32015,"Lander, NV",5841,265004,45370,63143
32017,"Lincoln, NV",5311,119961,22587,37018
32019,"Lyon, NV",51871,1443849,27835,36438
32021,"Mineral, NV",4593,161791,35226,39657
32023,"Nye, NV",43351,1372334,31656,46226
32027,"Pershing, NV",6734,173548,25772,44202
32029,"Storey, NV",3896,132167,33924,44065
32031,"Washoe, NV",425710,17790272,41790,43389
32033,"White Pine, NV",10098,403467,39955,46317
32510,"Carson City (Independent City), NV",55439,2208309,39833,44272
33001,"Belknap, NH",60223,2529059,41995,37262
33003,"Carroll, NH",47641,2030087,42612,32919
33005,"Cheshire, NH",76918,3144019,40875,39687
33007,"Coos, NH",32688,1144685,35019,32500
33009,"Grafton, NH",88923,4047993,45522,46891
33011,"Hillsborough, NH",401696,19273673,47981,53087
33013,"Merrimack, NH",146579,6383256,43548,43553
33015,"Rockingham, NH",296207,15657860,52861,46464
33017,"Strafford, NH",123857,4637435,37442,44502
33019,"Sullivan, NH",43462,1632407,37559,37334
34001,"Atlantic, NJ",274338,11045522,40262,42500
34003,"Bergen, NJ",911004,60213923,66096,58766
34005,"Burlington, NJ",449576,21722404,48318,51137
34007,"Camden, NJ",513241,22120227,43099,47781
34009,"Cape May, NJ",96601,4703885,48694,34896
34011,"Cumberland, NJ",157095,5541121,35272,41950
34013,"Essex, NJ",785137,41578047,52956,59944
34015,"Gloucester, NJ",289104,12208251,42228,42087
34017,"Hudson, NJ",641224,30379435,47377,68665
34019,"Hunterdon, NJ",128038,8669417,67710,54660
34021,"Mercer, NJ",367063,19984785,54445,63884
34023,"Middlesex, NJ",814217,40061864,49203,58552
34025,"Monmouth, NJ",631020,36823110,58355,49293
34027,"Morris, NJ",494976,35504417,71730,70020
34029,"Ocean, NJ",579369,23594161,40724,39378
34031,"Passaic, NJ",502007,21691218,43209,48820
34033,"Salem, NJ",65902,2691931,40847,52344
34035,"Somerset, NJ",324893,23720712,73011,76698
34037,"Sussex, NJ",148517,7393410,49782,40640
34039,"Union, NJ",539494,27978150,51860,60402
34041,"Warren, NJ",108339,4868497,44938,45065
35001,"Bernalillo, NM",670968,24311260,36233,42892
35003,"Catron, NM",3733,108678,29113,30358
35005,"Chaves, NM",65890,1997721,30319,33060
35006,"Cibola, NM",27658,718128,25965,34793
35007,"Colfax, NM",13640,468654,34359,31184
35009,"Curry, NM",49649,1978194,39844,38921
35011,"De Baca, NM",1945,72849,37454,27362
35013,"Dona Ana, NM",213598,6400012,29963,35281
35015,"Eddy, NM",54152,2249416,41539,47611
35017,"Grant, NM",29380,965250,32854,35645
35019,"Guadalupe, NM",4619,122063,26426,28231
35021,"Harding, NM",704,33839,48067,29376
35023,"Hidalgo, NM",4861,157617,32425,37647
35025,"Lea, NM",65423,2479395,37898,47455
35027,"Lincoln, NM",20454,660848,32309,29249
35028,"Los Alamos, NM",18222,1106416,60719,74588
35029,"Luna, NM",25281,741700,29338,33544
35031,"McKinley, NM",73664,1773770,24079,33278
35033,"Mora, NM",4773,133204,27908,30171
35035,"Otero, NM",65703,1981177,30154,38469
35037,"Quay, NM",9026,301336,33385,31783
35039,"Rio Arriba, NM",40446,1168412,28888,31457
35041,"Roosevelt, NM",20446,666433,32595,31436
35043,"Sandoval, NM",134259,4421270,32931,44011
35045,"San Juan, NM",128200,4022020,31373,44066
35047,"San Miguel, NM",29301,919055,31366,30121
35049,"Santa Fe, NM",145648,6310171,43325,41195
35051,"Sierra, NM",11943,393805,32974,28798
35053,"Socorro, NM",17873,544447,30462,33044
35055,"Taos, NM",32917,1024348,31119,30457
35057,"Torrance, NM",16345,497523,30439,30710
35059,"Union, NM",4433,115198,25986,29579
35061,"Valencia, NM",77070,2228977,28921,30977
36001,"Albany, NY",303565,14657214,48284,49799
36003,"Allegany, NY",48778,1375827,28206,33610
36005,"Bronx, NY",1392002,44249279,31788,44759
36007,"Broome, NY",199031,7157673,35963,38222
36009,"Cattaraugus, NY",79832,2769823,34696,36134
36011,"Cayuga, NY",79738,2715936,34061,36344
36013,"Chautauqua, NY",134368,4254695,31664,33744
36015,"Chemung, NY",88840,3155323,35517,40565
36017,"Chenango, NY",50118,1695885,33838,37134
36019,"Clinton, NY",81945,2788541,34029,38402
36021,"Columbia, NY",62550,2627558,42007,36983
36023,"Cortland, NY",49363,1578248,31972,35043
36025,"Delaware, NY",47559,1539625,32373,35971
36027,"Dutchess, NY",297999,13565316,45521,48223
36029,"Erie, NY",918028,37863680,41245,42169
36031,"Essex, NY",39181,1347092,34381,35613
36033,"Franklin, NY",51551,1535888,29794,37287
36035,"Fulton, NY",55180,1960484,35529,36356
36037,"Genesee, NY",59993,2029328,33826,35429
36039,"Greene, NY",48954,1803859,36848,37528
36041,"Hamilton, NY",4793,200107,41750,29576
36043,"Herkimer, NY",64160,2121111,33060,31953
36045,"Jefferson, NY",117910,5355208,45418,44768
36047,"Kings, NY",2532645,99662369,39351,39486
36049,"Lewis, NY",27072,888209,32809,33939
36051,"Livingston, NY",65070,2105731,32361,34849
36053,"Madison, NY",73365,2469717,33663,34729
36055,"Monroe, NY",745625,32728163,43894,45013
36057,"Montgomery, NY",49916,1641314,32882,34479
36059,"Nassau, NY",1344436,91119989,67776,53667
36061,"New York, NY",1601948,194317452,121301,100053
36063,"Niagara, NY",216011,7634999,35345,37345
36065,"Oneida, NY",234287,8445804,36049,38124
36067,"Onondaga, NY",466960,19326912,41389,44156
36069,"Ontario, NY",108525,4540046,41834,38584
36071,"Orange, NY",374872,15019466,40066,41374
36073,"Orleans, NY",42622,1265497,29691,37300
36075,"Oswego, NY",122228,3822668,31275,37616
36077,"Otsego, NY",61917,2068922,33414,36483
36079,"Putnam, NY",99933,5374477,53781,47377
36081,"Queens, NY",2247848,94446904,42017,45434
36083,"Rensselaer, NY",159395,6330605,39716,42440
36085,"Richmond, NY",470467,22810838,48486,40949
36087,"Rockland, NY",315158,16951395,53787,51992
36089,"St. Lawrence, NY",111690,3267591,29256,36604
36091,"Saratoga, NY",220882,10301284,46637,42638
36093,"Schenectady, NY",155058,6721432,43348,49321
36095,"Schoharie, NY",32578,1157494,35530,34261
36097,"Schuyler, NY",18361,648460,35317,32598
36099,"Seneca, NY",35198,1189099,33783,36656
36101,"Steuben, NY",99033,3691801,37278,49596
36103,"Suffolk, NY",1498816,78462991,52350,52505
36105,"Sullivan, NY",76900,2880444,37457,36752
36107,"Tioga, NY",51043,1842495,36097,44594
36109,"Tompkins, NY",101723,3688831,36263,41759
36111,"Ulster, NY",182448,7222960,39589,38211
36113,"Warren, NY",65831,2675938,40649,36874
36115,"Washington, NY",63165,2124797,33639,38858
36117,"Wayne, NY",93436,3347974,35832,38681
36119,"Westchester, NY",955899,72509264,75855,63856
36121,"Wyoming, NY",41944,1315311,31359,36924
36123,"Yates, NY",25454,817333,32110,29615
37001,"Alamance, NC",153291,4807695,31363,35742
37003,"Alexander, NC",37087,1131098,30499,30255
37005,"Alleghany, NC",11052,344353,31158,26774
37007,"Anson, NC",26609,649714,24417,32334
37009,"Ashe, NC",27143,771713,28431,30110
37011,"Avery, NC",17572,508515,28939,27814
37013,"Beaufort, NC",47691,1561245,32737,34529
37015,"Bertie, NC",20874,610819,29262,32486
37017,"Bladen, NC",34928,1017610,29135,31822
37019,"Brunswick, NC",110097,3674444,33375,35363
37021,"Buncombe, NC",241419,8320875,34467,37229
37023,"Burke, NC",90904,2734762,30084,33613
37025,"Cabarrus, NC",181468,6453148,35561,35899
37027,"Caldwell, NC",82395,2246138,27261,32139
37029,"Camden, NC",10014,374053,37353,35786
37031,"Carteret, NC",67373,2639299,39174,30225
37033,"Caswell, NC",23403,733126,31326,30176
37035,"Catawba, NC",154181,5137333,33320,37563
37037,"Chatham, NC",64195,3093642,48191,33913
37039,"Cherokee, NC",27194,700273,25751,29915
37041,"Chowan, NC",14853,486653,32765,32913
37043,"Clay, NC",10563,291978,27642,28679
37045,"Cleveland, NC",97489,3026601,31046,34235
37047,"Columbus, NC",57712,1644279,28491,31481
37049,"Craven, NC",104786,3836260,36610,42601
37051,"Cumberland, NC",324885,14515145,44678,48390
37053,"Currituck, NC",23955,956983,39949,33734
37055,"Dare, NC",34307,1325388,38633,30356
37057,"Davidson, NC",162697,5388629,33121,33570
37059,"Davie, NC",41552,1490184,35863,31680
37061,"Duplin, NC",59542,1675634,28142,31451
37063,"Durham, NC",273392,10567605,38654,64451
37065,"Edgecombe, NC",56041,1525337,27218,35737
37067,"Forsyth, NC",354952,13489313,38003,45086
37069,"Franklin, NC",61140,1814052,29670,35138
37071,"Gaston, NC",207031,6888866,33275,36338
37073,"Gates, NC",12043,325407,27020,31478
37075,"Graham, NC",8802,220922,25099,30773
37077,"Granville, NC",59976,1715638,28605,40180
37079,"Greene, NC",21556,567289,26317,29549
37081,"Guilford, NC",495279,18815652,37990,42981
37083,"Halifax, NC",54173,1607545,29674,31961
37085,"Harnett, NC",119256,3487836,29247,30979
37087,"Haywood, NC",58855,1853684,31496,32843
37089,"Henderson, NC",107927,3869462,35853,35071
37091,"Hertford, NC",24433,664772,27208,33164
37093,"Hoke, NC",49272,1668749,33868,28268
37095,"Hyde, NC",5822,172169,29572,30439
37097,"Iredell, NC",161202,5409218,33556,41295
37099,"Jackson, NC",40285,1136763,28218,31987
37101,"Johnston, NC",172595,5893902,34149,36487
37103,"Jones, NC",10020,350525,34983,31249
37105,"Lee, NC",58752,1927974,32815,38611
37107,"Lenoir, NC",59339,1900136,32022,32871
37109,"Lincoln, NC",78932,2705370,34275,34374
37111,"McDowell, NC",45104,1177836,26114,31870
37113,"Macon, NC",34074,1030664,30248,31377
37115,"Madison, NC",20816,594910,28579,26744
37117,"Martin, NC",24180,740218,30613,32091
37119,"Mecklenburg, NC",944373,43073097,45610,57425
37121,"Mitchell, NC",15445,422341,27345,31798
37123,"Montgomery, NC",27667,778693,28145,31904
37125,"Moore, NC",89352,3438011,38477,35912
37127,"Nash, NC",96116,3249373,33807,36519
37129,"New Hanover, NC",206189,7445150,36108,40395
37131,"Northampton, NC",21893,641074,29282,31113
37133,"Onslow, NC",179719,8296419,46163,43147
37135,"Orange, NC",135755,6608945,48683,45771
37137,"Pamlico, NC",13197,486747,36883,29744
37139,"Pasquotank, NC",40696,1166885,28673,34589
37141,"Pender, NC",53399,1650390,30907,32948
37143,"Perquimans, NC",13487,407400,30207,28260
37145,"Person, NC",39637,1164775,29386,33732
37147,"Pitt, NC",171134,5620218,32841,38090
37149,"Polk, NC",20256,753316,37190,30424
37151,"Randolph, NC",142358,4183246,29385,32755
37153,"Richmond, NC",46611,1284617,27560,31696
37155,"Robeson, NC",135517,3365400,24834,30382
37157,"Rockingham, NC",93329,2880841,30868,33162
37159,"Rowan, NC",138019,4111873,29792,38635
37161,"Rutherford, NC",67538,1731677,25640,31172
37163,"Sampson, NC",63734,1875423,29426,30613
37165,"Scotland, NC",35861,1017152,28364,33509
37167,"Stanly, NC",60626,1832560,30227,31970
37169,"Stokes, NC",47242,1420194,30062,29887
37171,"Surry, NC",73714,2208635,29962,32025
37173,"Swain, NC",14043,395058,28132,31937
37175,"Transylvania, NC",32820,1007674,30703,30471
37177,"Tyrrell, NC",4364,109943,25193,26698
37179,"Union, NC",205463,7304614,35552,37176
37181,"Vance, NC",45307,1342026,29621,33262
37183,"Wake, NC",929780,39566745,42555,48524
37185,"Warren, NC",20861,519877,24921,33171
37187,"Washington, NC",12973,386985,29830,28990
37189,"Watauga, NC",51333,1521910,29648,32457
37191,"Wayne, NC",123697,3864941,31245,35750
37193,"Wilkes, NC",68984,2178203,31575,32387
37195,"Wilson, NC",81452,2701803,33170,39183
37197,"Yadkin, NC",38279,1153823,30142,29904
37199,"Yancey, NC",17701,467376,26404,29530
38001,"Adams, ND",2307,113630,49254,31721
38003,"Barnes, ND",11056,530916,48021,31587
38005,"Benson, ND",6723,281500,41871,34293
38007,"Billings, ND",816,62667,76798,38713
38009,"Bottineau, ND",6443,283884,44061,37748
38011,"Bowman, ND",3134,177782,56727,38790
38013,"Burke, ND",2033,93071,45780,46812
38015,"Burleigh, ND",83145,3636043,43731,39751
38017,"Cass, ND",152368,6948277,45602,40676
38019,"Cavalier, ND",3939,282869,71812,36484
38021,"Dickey, ND",5317,322992,60747,30656
38023,"Divide, ND",2125,82874,39000,37985
38025,"Dunn, ND",3720,226872,60987,54455
38027,"Eddy, ND",2380,104075,43729,28537
38029,"Emmons, ND",3546,197613,55728,27650
38031,"Foster, ND",3341,163038,48799,35715
38033,"Golden Valley, ND",1752,46063,26292,30871
38035,"Grand Forks, ND",66598,2640345,39646,35848
38037,"Grant, ND",2337,138640,59324,27479
38039,"Griggs, ND",2372,112740,47530,29318
38041,"Hettinger, ND",2515,121174,48181,30271
38043,"Kidder, ND",2414,109274,45267,30134
38045,"LaMoure, ND",4105,307361,74875,33629
38047,"Logan, ND",1985,120725,60819,25125
38049,"McHenry, ND",5505,196993,35784,33249
38051,"McIntosh, ND",2769,150611,54392,28734
38053,"McKenzie, ND",7019,448945,63961,61057
38055,"McLean, ND",9068,449214,49538,42184
38057,"Mercer, ND",8449,387866,45907,53828
38059,"Morton, ND",27734,1072754,38680,37823
38061,"Mountrail, ND",8097,511790,63207,55671
38063,"Nelson, ND",3057,186150,60893,27869
38065,"Oliver, ND",1830,102593,56062,57033
38067,"Pembina, ND",7342,399780,54451,39262
38069,"Pierce, ND",4375,198412,45351,31016
38071,"Ramsey, ND",11452,529006,46193,32315
38073,"Ransom, ND",5403,246145,45557,31961
38075,"Renville, ND",2490,112571,45209,36965
38077,"Richland, ND",16245,755829,46527,35285
38079,"Rolette, ND",14206,418531,29462,32488
38081,"Sargent, ND",3798,217561,57283,37743
38083,"Sheridan, ND",1309,79383,60644,23532
38085,"Sioux, ND",4280,114650,26787,35288
38087,"Slope, ND",718,39971,55670,51025
38089,"Stark, ND",25177,1378434,54750,47266
38091,"Steele, ND",1950,120576,61834,35557
38093,"Stutsman, ND",21062,911382,43271,34544
38095,"Towner, ND",2264,138348,61108,29333
38097,"Traill, ND",8147,377287,46310,34585
38099,"Walsh, ND",11032,482092,43699,32251
38101,"Ward, ND",64072,2945762,45976,40808
38103,"Wells, ND",4237,250821,59198,30828
38105,"Williams, ND",24374,1978433,81170,68591
39001,"Adams, OH",28456,765736,26909,32924
39003,"Allen, OH",106094,3368510,31750,39125
39005,"Ashland, OH",53153,1563867,29422,34447
39007,"Ashtabula, OH",101345,3176046,31339,34183
39009,"Athens, OH",64769,1767907,27296,34069
39011,"Auglaize, OH",45838,1771505,38647,36517
39013,"Belmont, OH",70151,2194714,31286,33674
39015,"Brown, OH",44687,1362575,30492,33509
39017,"Butler, OH",369999,13538158,36590,42228
39019,"Carroll, OH",28782,778371,27044,30411
39021,"Champaign, OH",39795,1245578,31300,36328
39023,"Clark, OH",137691,4788412,34777,35676
39025,"Clermont, OH",199139,7176656,36038,39517
39027,"Clinton, OH",41927,1342796,32027,38409
39029,"Columbiana, OH",107570,3290532,30590,32863
39031,"Coshocton, OH",36955,1098672,29730,35110
39033,"Crawford, OH",43389,1357449,31286,34303
39035,"Cuyahoga, OH",1270294,55556421,43735,49822
39037,"Darke, OH",52809,1812644,34325,34672
39039,"Defiance, OH",38884,1295717,33323,38293
39041,"Delaware, OH",178341,10427584,58470,49414
39043,"Erie, OH",76751,2928925,38161,35780
39045,"Fairfield, OH",147066,4936832,33569,34200
39047,"Fayette, OH",28985,993152,34264,31733
39049,"Franklin, OH",1178799,46734763,39646,47650
39051,"Fulton, OH",42510,1496805,35211,36457
39053,"Gallia, OH",30970,981132,31680,36405
39055,"Geauga, OH",93228,4770039,51165,38650
39057,"Greene, OH",162846,6162374,37842,49050
39059,"Guernsey, OH",39927,1196021,29955,34705
39061,"Hamilton, OH",800362,37522065,46881,52908
39063,"Hancock, OH",75056,2966459,39523,42206
39065,"Hardin, OH",32020,937264,29271,33840
39067,"Harrison, OH",15850,451486,28485,32002
39069,"Henry, OH",28064,996033,35491,36185
39071,"Highland, OH",43433,1200072,27630,31694
39073,"Hocking, OH",29394,829146,28208,30980
39075,"Holmes, OH",42746,1176503,27523,31246
39077,"Huron, OH",59496,1880796,31612,38665
39079,"Jackson, OH",33186,936239,28212,32466
39081,"Jefferson, OH",68828,2184722,31742,36374
39083,"Knox, OH",61275,1955717,31917,38192
39085,"Lake, OH",229885,9276092,40351,42880
39087,"Lawrence, OH",62489,1911873,30595,30318
39089,"Licking, OH",167248,6270295,37491,37354
39091,"Logan, OH",45688,1574036,34452,40644
39093,"Lorain, OH",301614,10943314,36283,40496
39095,"Lucas, OH",440005,15796120,35900,42268
39097,"Madison, OH",43401,1532525,35311,38364
39099,"Mahoning, OH",237270,8307267,35012,35542
39101,"Marion, OH",66212,2130619,32179,37486
39103,"Medina, OH",173262,7076583,40843,38015
39105,"Meigs, OH",23680,601569,25404,29885
39107,"Mercer, OH",40838,1551499,37992,33800
39109,"Miami, OH",102857,3807886,37021,38020
39111,"Monroe, OH",14585,441483,30270,38364
39113,"Montgomery, OH",537602,20258807,37684,43362
39115,"Morgan, OH",15034,367728,24460,31794
39117,"Morrow, OH",34855,1068159,30646,32090
39119,"Muskingum, OH",86237,2685426,31140,35202
39121,"Noble, OH",14702,304125,20686,31834
39123,"Ottawa, OH",41396,1637344,39553,38494
39125,"Paulding, OH",19420,622585,32059,34323
39127,"Perry, OH",36303,928393,25573,33863
39129,"Pickaway, OH",55990,1826230,32617,40242
39131,"Pike, OH",28628,839425,29322,44024
39133,"Portage, OH",161624,5860451,36260,37570
39135,"Preble, OH",42083,1396658,33188,33445
39137,"Putnam, OH",34294,1257065,36656,32423
39139,"Richland, OH",123510,3793514,30714,34327
39141,"Ross, OH",78249,2356070,30110,40492
39143,"Sandusky, OH",60734,2014534,33170,35647
39145,"Scioto, OH",79277,2290160,28888,34275
39147,"Seneca, OH",56469,1779136,31506,33020
39149,"Shelby, OH",49307,1675465,33980,43141
39151,"Stark, OH",375087,13251647,35330,37950
39153,"Summit, OH",539832,22205788,41135,43914
39155,"Trumbull, OH",209264,6660002,31826,39420
39157,"Tuscarawas, OH",92508,2806402,30337,33038
39159,"Union, OH",52764,1891637,35851,54469
39161,"Van Wert, OH",28601,1035547,36207,35198
39163,"Vinton, OH",13367,334559,25029,34479
39165,"Warren, OH",214910,9202095,42818,42362
39167,"Washington, OH",61755,2086403,33785,37767
39169,"Wayne, OH",114611,3526003,30765,37890
39171,"Williams, OH",37597,1251152,33278,36180
39173,"Wood, OH",126355,4699133,37190,39493
39175,"Wyandot, OH",22692,768456,33865,35343
40001,"Adair, OK",22612,505702,22364,29233
40003,"Alfalfa, OK",5662,177113,31281,32130
40005,"Atoka, OK",14206,382515,26926,29342
40007,"Beaver, OK",5624,223152,39679,35959
40009,"Beckham, OK",22288,816097,36616,42367
40011,"Blaine, OK",9780,312115,31914,32037
40013,"Bryan, OK",43089,1244878,28891,31448
40015,"Caddo, OK",29537,820692,27785,33146
40017,"Canadian, OK",119492,4720103,39501,38072
40019,"Carter, OK",48096,1801787,37462,38254
40021,"Cherokee, OK",47845,1393969,29135,30661
40023,"Choctaw, OK",15250,430975,28261,29215
40025,"Cimarron, OK",2487,100589,40446,28899
40027,"Cleveland, OK",261281,9477924,36275,34048
40029,"Coal, OK",5928,163423,27568,31261
40031,"Comanche, OK",125815,4653216,36985,41582
40033,"Cotton, OK",6179,218959,35436,31376
40035,"Craig, OK",15073,465297,30870,31815
40037,"Creek, OK",70467,2310385,32787,36998
40039,"Custer, OK",27750,1007325,36300,38355
40041,"Delaware, OK",41633,1273753,30595,28777
40043,"Dewey, OK",4867,186748,38370,35431
40045,"Ellis, OK",4051,162493,40112,36639
40047,"Garfield, OK",60670,2414868,39803,38637
40049,"Garvin, OK",27452,958870,34929,36973
40051,"Grady, OK",53020,1642496,30979,34454
40053,"Grant, OK",4585,178203,38867,38785
40055,"Greer, OK",6125,168081,27442,30679
40057,"Harmon, OK",2919,86482,29627,32017
40059,"Harper, OK",3695,121807,32965,32698
40061,"Haskell, OK",12810,393928,30752,27007
40063,"Hughes, OK",13843,380406,27480,30028
40065,"Jackson, OK",26447,855070,32331,35705
40067,"Jefferson, OK",6506,179331,27564,29716
40069,"Johnston, OK",11139,308887,27730,31751
40071,"Kay, OK",46159,1656823,35894,36808
40073,"Kingfisher, OK",15213,587159,38596,38825
40075,"Kiowa, OK",9416,281230,29867,31496
40077,"Latimer, OK",11155,361800,32434,40830
40079,"Le Flore, OK",50628,1388379,27423,31042
40081,"Lincoln, OK",34155,1014227,29695,32095
40083,"Logan, OK",42499,1634789,38467,30653
40085,"Love, OK",9386,368945,39308,30293
40087,"McClain, OK",35235,1523541,43239,32975
40089,"McCurtain, OK",33195,936389,28209,30871
40091,"McIntosh, OK",20360,609755,29949,27641
40093,"Major, OK",7657,290365,37922,34948
40095,"Marshall, OK",16049,437792,27278,31797
40097,"Mayes, OK",41389,1185500,28643,35363
40099,"Murray, OK",13571,485794,35796,33487
40101,"Muskogee, OK",71003,2246466,31639,36331
40103,"Noble, OK",11578,357271,30858,37261
40105,"Nowata, OK",10629,310478,29210,29653
40107,"Okfuskee, OK",12348,294150,23822,28591
40109,"Oklahoma, OK",732371,31111297,42480,46018
40111,"Okmulgee, OK",39937,1181089,29574,31533
40113,"Osage, OK",47425,1684214,35513,32583
40115,"Ottawa, OK",31860,1025225,32179,30455
40117,"Pawnee, OK",16730,515670,30823,34418
40119,"Payne, OK",77988,2523379,32356,34604
40121,"Pittsburg, OK",45625,1514322,33191,38741
40123,"Pontotoc, OK",37799,1301973,34445,34385
40125,"Pottawatomie, OK",70280,2344933,33366,31506
40127,"Pushmataha, OK",11478,330447,28790,27979
40129,"Roger Mills, OK",3702,135013,36470,37930
40131,"Rogers, OK",87706,3229838,36826,39686
40133,"Seminole, OK",25292,773980,30602,33106
40135,"Sequoyah, OK",42341,1170688,27649,26363
40137,"Stephens, OK",45197,1733020,38344,39586
40139,"Texas, OK",21312,729167,34214,35933
40141,"Tillman, OK",8061,200343,24853,31372
40143,"Tulsa, OK",610599,28578582,46804,46000
40145,"Wagoner, OK",74098,2496049,33686,31389
40147,"Washington, OK",51476,2271704,44131,44937
40149,"Washita, OK",11574,364427,31487,34792
40151,"Woods, OK",8775,310674,35404,33549
40153,"Woodward, OK",20034,827134,41287,42392
41001,"Baker, OR",15984,489246,30608,31341
41003,"Benton, OR",85928,3323437,38677,40067
41005,"Clackamas, OR",380207,17457115,45915,44405
41007,"Clatsop, OR",37153,1301131,35021,34331
41009,"Columbia, OR",49402,1675060,33907,34279
41011,"Coos, OR",62791,2037157,32443,32923
41013,"Crook, OR",20839,635497,30496,37538
41015,"Curry, OR",22426,715555,31907,31700
41017,"Deschutes, OR",160338,5946037,37084,37093
41019,"Douglas, OR",107490,3356033,31222,34982
41021,"Gilliam, OR",1937,69977,36126,41056
41023,"Grant, OR",7410,225804,30473,32203
41025,"Harney, OR",7373,212801,28862,30892
41027,"Hood River, OR",22493,797178,35441,32227
41029,"Jackson, OR",204822,7087194,34602,36003
